MIL_FROM_TROOPS;병사와 육군
NO_CIV_PROGRESS;서구화를 향한 아무런 진전도 이루지 못했습니다. 군사 또는 경제 개혁을 제정해야 합니다.
RESEARCH_POINTS_LABEL;연구 점수:
MODIFIER_UNCIV_ECONOMIC;경제 개혁 비용
MODIFIER_UNCIV_MILITARY;군사 개혁 비용
MODIFIER_SELF_UNCIV_ECONOMIC;경제 개혁 비용
MODIFIER_SELF_UNCIV_MILITARY;군사 개혁 비용
MODIFIER_LAND_UNIT_START_EXPERIENCE;육군 시작 경험치
MODIFIER_NAVAL_UNIT_START_EXPERIENCE;해군 시작 경험치
MODIFIER_ADMINISTRATIVE_EFFICIENCY;행정 효율
ARMY_TECHNOLOGY_LEVELS;육군 기술: $VAL$/$MAX$
NAVY_TECHNOLOGY_LEVELS;해군 기술: $VAL$/$MAX$
MODIFIER_TARIFF_EFFICIENCY;관세 효율
MODIFIER_MAX_LOAN_AMOUNT;최대 대출액
PROD_YOUR_CURRENT_BUDGET;현재 예산:
PROD_YOUR_INVESTMENT;귀하의 투자액:
MODIFIER_LAND_ATTACK;육군 부대 공격력
MODIFIER_NAVAL_ATTACK;해군 부대 공격력
MODIFIER_LAND_DEFENSE;육군 부대 방어력
MODIFIER_NAVAL_DEFENSE;해군 부대 방어력
free_press_promised;언론의 자유 약속됨
yes_meeting_promised;공개 집회권 약속됨
trade_unions_promised;노동조합 약속됨
free_press_promised_desc;우리는 국민들에게 언론의 자유를 보장하겠다고 약속했으며, 그들은 곧 우리가 이 약속을 이행하기를 기대할 것입니다.
yes_meeting_promised_desc;우리는 국민들에게 공개 집회의 권리를 보장하겠다고 약속했으며, 그들은 곧 우리가 이 약속을 이행하기를 기대할 것입니다.
trade_unions_promised_desc;우리는 국민들에게 노동조합을 보장하겠다고 약속했으며, 그들은 곧 우리가 이 약속을 이행하기를 기대할 것입니다.
recent_safari;최근의 사파리
recent_safari2;너무 많은 사파리
recent_safari_desc;우리는 최근 사파리를 다녀왔습니다.
recent_safari2_desc;최근 너무 많은 사파리가 진행되었습니다.
unciv_reactionary_rebels_title;반동주의
unciv_reactionary_rebels_name;$COUNTRY$ 반동주의자
unciv_reactionary_rebels_desc;반동주의 반란군은 조상들의 전통적인 방식대로 살아가기를 열망하며, 유럽인들의 방식을 모방하는 모든 행위를 거부합니다.
unciv_reactionary_rebels_army;$COUNTRY_ADJ$ 육군
SET_ECONOMIC_REFORM_EFFECT;선택된 경제 개혁: §Y$NAME$§W.\n
SET_MILITARY_REFORM_EFFECT;선택된 군사 개혁: §Y$NAME$§W.\n
NATIONALIZE_INDUSTRY_EFFECT;국유화 실행
DIPLOMACY_ALMOST_WESTERN_NATION_STATUS;부분 서구화 국가
DIPLOMACY_PRIMITIVENATION_STATUS;원시 국가
UNCIV_CANT_RESEARCH;연구를 하려면 서구화해야 합니다.
TB_NATIONALFOCUS_CULTURE;주/수용 문화 인구 §Y$NUM$§W명이 §Y$FOCUS$§W개의 국가 중점 포인트를 제공합니다.
meiji_restoration_boost;메이지 유신.
meiji_restoration_boost_desc;황제의 이름으로 진보를!
OTHER_PORT;우리가 접근할 수 없는 해군 기지입니다.
MODIFIER_UNCIV_ECONOMIC_UH;상원 지지율
MODIFIER_UNCIV_MILITARY_UH;상원 지지율
MOVEMENT_RADICALISM_ADJUST;§Y$MOVEMENT$§! 급진성: $AMOUNT$
MILITARY_REFORM_COST_DESC;군사 개혁 비용 보정치:
ECONOMIC_REFORM_COST_DESC;경제 개혁 비용 보정치:
MAPMODE_19;문명화 수준
CHI_absolute_monarchy;중화제국
EVTOPTB23212;계속 하늘을 쳐다보라!
LOSE_CIVILIZED_EFFECT;우리는 이제 §Y비문명국§W으로 알려질 것입니다\n
french_growth_nerf;프랑스 인구 감소:
french_growth_nerf_desc;우리 국가의 인구 증가율이 둔화되었습니다:
EVTNAME37226;인구 감소
EVTDESC37226;오랫동안 유럽에서 인구가 가장 많은 국가였던 프랑스는 19세기와 20세기 대부분 동안 그 이유를 여전히 알 수 없을 정도로 매우 낮은 출산율을 기록했습니다. 빅토리아 시대가 끝날 무렵, 프랑스는 총인구 측면에서 러시아, 독일, 영국, 이탈리아에 뒤처지게 됩니다.
EVTOPTA37226;이건 꽤 큰 타격이군!
nationalize_title;생산 수단을 장악하라!
nationalize_desc;더 이상 외국의 개들이 우리 인민의 땀으로 배를 불리게 두지 않을 것이다! 외부인이 소유한 모든 자산을 압류하여 국가가 관리해야 할 때가 왔다.
EVTNAME90950;자산 압류!
EVTDESC90950;배은망덕한 $FROMCOUNTRY$ 정부가 우리의 투자 자산을 압류하고 자신들의 소유라고 주장했습니다!
EVTOPTA90950;이를 좌시할 수는 없다!
EVTOPTB90950;내버려 둔다
MOVEMENT_RADICALISM;운동 급진주의
MOVEMENT_RADICALISM_DESC;운동에 참여한 사람들이 자신들의 목적을 달성하기 위해 국가의 정치 과정을 얼마나 신뢰하는지를 나타냅니다. 운동의 수치가 높을 때(§Y100§!) 탄압하지 않으면 반란군 봉기로 전환됩니다.
NUMBER_MOVEMENT_SUPPORTERS;지지자 수
NUMBER_MOVEMENT_SUPPORTERS_DESC;운동의 규모가 클수록 탄압하기가 더 어려워집니다. 더 적은 지지를 받는 개혁을 제정한다면, 그보다 더 많은 지지를 받는 모든 운동이 급진적으로 변할 것입니다.
PRODUCTION_CLOSE_FACTORY_BECAUSE_FOREIGN_TOOLTIP;외국 공장은 폐쇄할 수 없습니다\n
CAN_NATIONALIZE;외국인 투자자가 있음
IS_NOT_IN_A_SPHERE;세력권에 속해 있지 않음
ACTIVATE_TECH_EFFECT;기술 활성화: §Y$NAME$§!
TECHNOLOGYVIEW_NO_RESEARCH_UNCIV_TOOLTIP;높은 수준의 기술은 문명국에서만 사용할 수 있습니다. §Y정치 탭§!에서 서구화를 진행하여 기본 기술을 획득하고 독자적인 연구를 시작할 수 있습니다.
RELATION_BETWEEN;$COUNTRY1$(과)와 $COUNTRY2$ 간의 현재 관계도: $RELATION$
ADD_RELATIVE_INCOME_EFFECT;국고: $VALUE$¤
CORRUPTION_LESS_THAN;부패가 다음보다 낮음
CORRUPTION_MORE_THAN;부패가 다음보다 높음
MOVEMENT_RADICALISM_FROM_SIZE;인구 지지: $VAL$
dar_al_funun;다룰 푸눈
dar_al_funun_desc;페르시아 최초의 근대식 대학입니다.
BOL_2305;아타카마
BOL_2314;포토시
serfdom_not_abolished;농노제가 폐지되지 않음:
XIN;신장
YNN;윈난
GXI;광시
MCK;만주
LEADERSHIP;지휘력
XBI;칭하이
EVTNAME23213;광기의 산맥
EVTDESC23213;남극 탐험대가 끔찍한 무언가를 깨웠습니다. 거대한 외계 도시의 폐허에서 그들은 식물이나 동물로 식별할 수 없는 존재들을 발견했습니다. 아주 먼 옛날 지구를 지배했던 존재들입니다. 형언할 수 없는 굶주림으로 가득 찬 그것들이 돌아오고 있습니다.
EVTOPTA23213;이거 정지 않군...
